"Atom number","Rang","Delta P"
"7","1","0.423"
"30","2","0.184"
"32","3","0.184"
"4","4","0.123"
"57","5","0.115"
"60","6","0.115"
"62","7","0.085"
"27","8","0.021"
"47","9","-0.007"
"56","10","-0.031"
"61","11","-0.031"
"5","12","-0.049"
"8","13","-0.054"
"29","14","-0.058"
"33","15","-0.058"
"46","16","-0.091"
"6","17","-0.092"
"48","18","-0.101"
"41","19","-0.159"
"24","20","-0.175"
"14","21","-0.197"
"50","22","-0.199"
"1","23","-0.216"
"3","24","-0.216"
"28","25","-0.237"
"23","26","-0.249"
"19","27","-0.258"
"10","28","-0.272"
"52","29","-0.272"
"26","30","-0.274"
"55","31","-0.282"
"49","32","-0.299"
"2","33","-0.305"
"13","34","-0.307"
"38","35","-0.309"
"17","36","-0.310"
"25","37","-0.312"
"9","38","-0.314"
"53","39","-0.314"
"42","40","-0.315"
"31","41","-0.319"
"44","42","-0.323"
"36","43","-0.324"
"37","44","-0.324"
"54","45","-0.330"
"43","46","-0.332"
"45","47","-0.336"
"58","48","-0.364"
"59","49","-0.370"
"35","50","-0.374"
"39","51","-0.376"
"20","52","-0.379"
"21","53","-0.379"
"15","54","-0.402"
"34","55","-0.413"
"12","56","-0.416"
"22","57","-0.419"
"51","58","-0.440"
"11","59","-0.450"
"16","60","-0.453"
"40","61","-0.493"
"18","62","-0.584"
