"Atom number","Rang","Delta P"
"2","1","0.284"
"6","2","0.259"
"21","3","0.191"
"24","4","0.191"
"14","5","0.041"
"13","6","0.022"
"8","7","-0.008"
"26","8","-0.008"
"9","9","-0.017"
"25","10","-0.017"
"12","11","-0.023"
"17","12","-0.158"
"15","13","-0.161"
"1","14","-0.170"
"3","15","-0.170"
"4","16","-0.229"
"22","17","-0.288"
"23","18","-0.288"
"10","19","-0.370"
"18","20","-0.524"
"19","21","-0.524"
"11","22","-0.547"
"16","23","-0.563"
"7","24","-0.590"
"20","25","-0.734"
"5","26","-0.868"
