"Atom number","Rang","Delta P"
"25","1","0.083"
"31","2","0.072"
"28","3","0.063"
"32","4","-0.054"
"5","5","-0.098"
"8","6","-0.098"
"17","7","-0.098"
"20","8","-0.098"
"24","9","-0.098"
"27","10","-0.098"
"30","11","-0.098"
"18","12","-0.104"
"15","13","-0.116"
"11","14","-0.129"
"21","15","-0.129"
"10","16","-0.142"
"14","17","-0.154"
"22","18","-0.164"
"33","19","-0.217"
"19","20","-0.254"
"13","21","-0.269"
"1","22","-0.358"
"9","23","-0.374"
"23","24","-0.419"
"26","25","-0.424"
"12","26","-0.436"
"34","27","-0.439"
"6","28","-0.453"
"29","29","-0.476"
"16","30","-0.482"
"7","31","-0.499"
"2","32","-0.503"
"3","33","-0.549"
"4","34","-0.600"
