"Atom number","Rang","Delta P"
"15","1","0.408"
"21","2","0.283"
"28","3","0.251"
"8","4","0.125"
"19","5","0.113"
"30","6","0.112"
"31","7","0.095"
"11","8","0.063"
"13","9","0.063"
"24","10","0.063"
"26","11","0.063"
"22","12","-0.090"
"5","13","-0.146"
"14","14","-0.163"
"17","15","-0.179"
"9","16","-0.211"
"6","17","-0.220"
"1","18","-0.237"
"18","19","-0.264"
"27","20","-0.280"
"20","21","-0.327"
"7","22","-0.449"
"3","23","-0.527"
"16","24","-0.564"
"12","25","-0.590"
"23","26","-0.617"
"2","27","-0.623"
"25","28","-0.657"
"4","29","-0.670"
"10","30","-0.793"
"29","31","-0.881"
