,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,0,0.0,0.0,11,0.0,14,0.0,1.0,64.35812999999999,89.6,89.6,79.02567479999999,87.02567479999999,87.02567479999999,14,4,7,0.0,0.6666666666666666
1,Smiles,0,1,C,C.2,1,6.7,5.9,10,0.0,13,0.0,0.9375,31.335098520000003,75.9,75.9,67.14659605920001,81.34659605920001,80.54659605920001,8,3,5,0.0,0.4
2,Smiles,0,2,C,C.3,2,13.4,11.8,9,0.0,12,0.0,0.875,25.905287,59.9,59.9,51.86378852,72.26378851999999,70.66378852,5,2,3,0.0,0.4
3,Smiles,0,3,C,C.4,3,20.1,17.700000000000003,8,0.0,11,0.0,0.8125,5.7060298000000005,999.0,999.0,992.271758808,1018.871758808,1016.471758808,22,22,22,0.0,0.0
4,Smiles,0,4,N,N.5,2,13.4,11.8,9,0.0,12,0.0,0.875,15.832866519999996,92.1,92.1,84.4666853392,104.8666853392,103.2666853392,17,9,10,0.0,0.3333333333333333
5,Smiles,0,5,C,C.6,2,13.4,11.8,9,0.0,12,0.0,0.875,5.8570877999999995,999.0,999.0,991.765716488,1012.1657164879999,1010.5657164879999,20,20,20,0.0,0.0
6,Smiles,0,6,C,C.7,1,6.7,5.9,10,0.0,13,0.0,0.9375,54.23476599999997,59.9,59.9,50.23060936,64.43060935999999,63.63060936,4,1,2,0.0,0.6666666666666666
7,Smiles,0,7,C,C.8,3,20.1,17.700000000000003,8,0.0,11,0.0,0.8125,7.360219900000001,999.0,999.0,992.205591204,1018.805591204,1016.4055912040001,21,21,21,0.0,0.0
8,Smiles,0,8,C,C.9,4,26.84,23.64,7,5.9,10,0.0,0.75,6.552443800000001,999.0,999.0,992.737902248,1025.5779022479999,1028.277902248,24,24,24,0.0,0.0
9,Smiles,0,9,O,O.10,3,20.1,17.700000000000003,8,0.0,11,0.0,0.8125,0.0,999.0,999.0,992.5,1019.1,1016.7,23,23,23,0.0,0.3333333333333333
10,Smiles,0,10,N,N.11,5,26.85,23.650000000000002,6,11.8,9,0.0,0.6875,13.013286040000011,75.6,75.6,69.5794685584,101.92946855839999,110.5294685584,9,7,12,0.0,0.3333333333333333
11,Smiles,0,11,C,C.12,6,26.86,23.66,5,17.700000000000003,8,0.0,0.625,4.3769937000000025,999.0,999.0,993.824920252,1025.684920252,1040.1849202520002,26,25,26,0.0,0.0
12,Smiles,0,12,C,C.13,7,26.87,23.67,4,23.6,7,6.7,0.5625,1.3561597999999986,999.0,999.0,994.445753608,1032.5157536079998,1046.2157536079999,30,28,28,0.0,0.0
13,Smiles,0,13,C,C.14,8,26.88,23.68,3,29.5,6,13.4,0.5,11.813074560000008,80.8,80.8,76.3274770176,120.6074770176,133.5074770176,13,16,18,0.0,0.3333333333333333
14,Smiles,0,14,C,C.15,7,26.87,23.67,2,35.400000000000006,5,20.1,0.5625,1.970477800000002,999.0,999.0,994.421180888,1045.891180888,1057.9911808880001,29,29,29,0.0,0.0
15,Smiles,0,15,S,S.16,6,26.86,23.66,1,41.300000000000004,4,26.8,0.625,1.0183335199999999,999.0,999.0,993.9592666592,1052.6192666591999,1063.9192666592,28,31,31,0.0,0.0
16,Smiles,0,16,O,O.17,5,26.85,23.650000000000002,2,35.400000000000006,5,20.1,0.6875,0.0,999.0,999.0,993.5,1045.95,1058.0500000000002,25,30,30,0.0,0.3333333333333333
17,Smiles,0,17,O,O.18,5,26.85,23.650000000000002,2,35.400000000000006,5,20.1,0.6875,0.0,999.0,999.0,993.5,1045.95,1058.0500000000002,25,30,30,0.0,0.3333333333333333
18,Smiles,0,18,N,N.19,5,26.85,23.650000000000002,2,35.400000000000006,3,33.5,0.6875,2.7540499,94.4,94.4,88.789838004,154.639838004,153.33983800400003,19,19,19,0.0,0.3333333333333333
19,Smiles,0,19,C,C.20,4,26.84,23.64,3,29.5,2,40.2,0.75,22.45634,72.3,72.3,65.4017464,138.4417464,124.5417464,7,18,16,0.0,0.6666666666666666
20,Smiles,0,20,C,C.21,3,20.1,17.700000000000003,4,23.6,1,46.9,0.8125,29.008450000000003,41.1,41.1,33.439662,106.939662,81.23966200000001,2,10,6,0.0,1.0
