,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,1,C,C.2,1,6.7,5.9,0,0,8,0.0,0.8888888888888888,5.584502799999999,999.0,999.0,991.6655087768889,1005.4766198880001,1004.676619888,14,14,14,0.0,0.0
1,Smiles,0,2,C,C.3,0,0.0,0.0,0,0,9,0.0,1.0,28.220816040000003,68.2,68.2,59.071167358400004,67.0711673584,67.0711673584,5,1,4,0.0,0.6666666666666666
2,Smiles,0,3,C,C.4,1,6.7,5.9,0,0,8,0.0,0.8888888888888888,24.060312039999996,86.3,86.3,78.22647640728889,92.0375875184,91.2375875184,12,5,10,0.0,1.0
3,Smiles,0,4,C,C.5,2,13.4,11.8,0,0,7,6.7,0.7777777777777778,4.7917103999999995,999.0,999.0,992.5861093617779,1018.908331584,1010.608331584,15,15,15,0.0,0.0
4,Smiles,0,5,C,C.6,3,20.1,17.700000000000003,0,0,6,13.4,0.6666666666666666,4.0396757999999995,999.0,999.0,993.5050796346666,1032.338412968,1016.538412968,17,17,17,0.0,0.0
5,Smiles,0,6,C,C.7,2,13.4,11.8,0,0,7,6.7,0.7777777777777778,22.09443104,77.2,77.2,70.09400053617777,96.41622275840001,88.1162227584,8,7,9,0.0,0.3333333333333333
6,Smiles,0,7,N,N.8,4,26.84,23.64,0,0,5,20.1,0.5555555555555556,6.071954160000001,75.6,75.6,70.91267738915555,122.29712183359999,98.99712183359999,9,13,13,0.0,0.3333333333333333
7,Smiles,0,8,C,C.9,4,26.84,23.64,0,0,4,26.8,0.5555555555555556,2.553704700000001,999.0,999.0,994.4534073675555,1052.5378518119999,1022.537851812,19,19,19,0.0,0.0
8,Smiles,0,9,N,N.10,3,20.1,17.700000000000003,0,0,3,33.5,0.6666666666666666,2.661311600000001,63.9,63.9,58.46021420266666,117.393547536,81.493547536,4,12,6,0.0,0.3333333333333333
9,Smiles,0,10,C,C.11,2,13.4,11.8,0,0,2,40.2,0.7777777777777778,29.333820000000003,41.1,41.1,33.70442497777778,93.52664720000001,51.7266472,1,6,1,0.0,0.6666666666666666
10,Smiles,0,11,C,C.12,1,6.7,5.9,0,0,1,46.9,0.8888888888888888,35.869344,59.9,59.9,51.35411512888889,112.06522624,64.36522624,3,11,3,0.0,0.3333333333333333
11,Smiles,0,12,N,N.13,0,0.0,0.0,0,0,0,53.6,1.0,27.330536000000002,54.1,54.1,45.00677856,106.60677856000001,53.00677856,2,9,2,0.0,0.3333333333333333
12,Smiles,0,13,C,C.14,1,6.7,5.9,0,0,1,46.9,0.8888888888888888,35.869344,59.9,59.9,51.35411512888889,112.06522624,64.36522624,3,11,3,0.0,0.3333333333333333
13,Smiles,0,14,C,C.15,2,13.4,11.8,0,0,2,40.2,0.7777777777777778,29.333820000000003,41.1,41.1,33.70442497777778,93.52664720000001,51.7266472,1,6,1,0.0,0.6666666666666666
14,Smiles,0,15,C,C.16,3,20.1,17.700000000000003,0,0,5,20.1,0.6666666666666666,2.7578584999999993,999.0,999.0,993.5563523266667,1039.08968566,1016.5896856600001,18,18,18,0.0,0.0
15,Smiles,0,16,C,C.17,2,13.4,11.8,0,0,6,13.4,0.7777777777777778,23.842568039999996,80.8,80.8,73.62407505617777,106.64629727840001,91.6462972784,11,10,11,0.0,0.6666666666666666
16,Smiles,0,17,C,C.18,1,6.7,5.9,0,0,7,6.7,0.8888888888888888,32.67395204,68.2,68.2,59.78193080728889,80.29304191840001,72.79304191840001,6,2,5,0.0,1.0
17,Smiles,0,18,C,C.19,1,6.7,5.9,0,0,8,0.0,0.8888888888888888,33.49870604,80.8,80.8,72.34894064728888,86.1600517584,85.3600517584,10,3,8,0.0,1.0
18,Smiles,0,19,C,C.20,2,13.4,11.8,0,0,7,6.7,0.7777777777777778,25.15122804,86.3,86.3,79.07172865617777,105.3939508784,97.0939508784,13,8,12,0.0,0.6666666666666666
19,Smiles,0,20,C,C.21,3,20.1,17.700000000000003,0,0,6,13.4,0.6666666666666666,4.1876047,999.0,999.0,993.4991624786667,1032.332495812,1016.5324958120001,16,16,16,0.0,0.0
20,Smiles,0,21,N,N.22,2,13.4,11.8,0,0,7,6.7,0.7777777777777778,11.907310080000006,72.0,72.0,65.30148537457777,91.6237075968,83.32370759679999,7,4,7,0.0,0.3333333333333333
