,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,0,0.0,0.0,0,0,14,0.0,1.0,66.41252999999999,89.6,89.6,78.9434988,86.9434988,86.9434988,12,4,8,0.0,0.6666666666666666
1,Smiles,0,1,C,C.2,1,6.7,5.9,0,0,13,0.0,0.9375,32.746832,75.9,75.9,67.09012672,81.29012672,80.49012672,6,2,4,0.0,0.4
2,Smiles,0,2,C,C.3,2,13.4,11.8,0,0,12,0.0,0.875,27.21462852,75.9,75.9,67.8114148592,88.2114148592,86.6114148592,7,5,7,0.0,0.4
3,Smiles,0,3,C,C.4,3,20.1,17.700000000000003,0,0,11,0.0,0.8125,22.27227652,59.9,59.9,52.5091089392,79.1091089392,76.7091089392,3,1,3,0.0,0.4
4,Smiles,0,4,C,C.5,4,26.84,23.64,0,0,10,0.0,0.75,3.264440799999999,999.0,999.0,992.869422368,1025.7094223679999,1022.509422368,18,18,19,0.0,0.0
5,Smiles,0,5,O,O.6,3,20.1,17.700000000000003,0,0,11,0.0,0.8125,0.0,999.0,999.0,992.5,1019.1,1016.7,16,16,16,0.0,0.0
6,Smiles,0,6,C,C.7,3,20.1,17.700000000000003,0,0,11,0.0,0.8125,7.5320296,999.0,999.0,992.198718816,1018.798718816,1016.398718816,15,15,15,0.0,0.0
7,Smiles,0,7,C,C.8,2,13.4,11.8,0,0,12,0.0,0.875,28.904653040000007,80.8,80.8,72.6438138784,93.0438138784,91.4438138784,10,7,12,0.0,1.0
8,Smiles,0,8,C,C.9,1,6.7,5.9,0,0,13,0.0,0.9375,33.49870604,77.2,77.2,68.3600517584,82.56005175840001,81.76005175840001,8,3,5,0.0,1.0
9,Smiles,0,9,C,C.10,2,13.4,11.8,0,0,12,0.0,0.875,32.67395204,80.8,80.8,72.4930419184,92.8930419184,91.2930419184,9,6,11,0.0,1.0
10,Smiles,0,10,C,C.11,3,20.1,17.700000000000003,0,0,11,0.0,0.8125,26.050832560000007,74.1,74.1,66.5579666976,93.15796669759999,90.7579666976,5,8,10,0.0,1.0
11,Smiles,0,11,C,C.12,4,26.84,23.64,0,0,10,0.0,0.75,4.974163699999999,999.0,999.0,992.801033452,1025.6410334519999,1022.4410334519999,17,17,17,0.0,0.0
12,Smiles,0,12,C,C.13,5,26.85,23.650000000000002,0,0,9,0.0,0.6875,2.3322237,999.0,999.0,993.406711052,1025.756711052,1022.556711052,19,19,21,0.0,0.0
13,Smiles,0,13,C,C.14,6,26.86,23.66,0,0,8,0.0,0.625,2.114048600000001,999.0,999.0,993.915438056,1025.775438056,1022.5754380559999,22,20,23,0.0,0.0
14,Smiles,0,14,O,O.15,5,26.85,23.650000000000002,0,0,9,0.0,0.6875,0.0,999.0,999.0,993.5,1025.85,1022.65,20,21,24,0.0,0.6666666666666666
15,Smiles,0,15,C,C.16,7,26.87,23.67,0,0,7,6.7,0.5625,3.1106157000000003,999.0,999.0,994.375575372,1032.445575372,1022.5455753719999,23,22,20,0.0,0.0
16,Smiles,0,16,C,C.17,8,26.88,23.68,0,0,6,13.4,0.5,17.235648040000008,80.8,80.8,76.11057407839999,120.3905740784,103.79057407839998,11,11,13,0.0,0.3333333333333333
17,Smiles,0,17,C,C.18,7,26.87,23.67,0,0,5,20.1,0.5625,2.6264228000000007,999.0,999.0,994.394943088,1045.864943088,1022.564943088,24,23,22,0.0,0.0
18,Smiles,0,19,C,C.20,6,26.86,23.66,0,0,4,26.8,0.625,3.7903558000000013,999.0,999.0,993.848385768,1052.508385768,1022.5083857679999,21,24,18,0.0,0.0
19,Smiles,0,20,O,O.21,5,26.85,23.650000000000002,0,0,3,33.5,0.6875,0.0,999.0,999.0,993.5,1059.35,1022.65,20,25,24,0.0,0.0
20,Smiles,0,21,C,C.22,4,26.84,23.64,0,0,2,40.2,0.75,22.63524652,62.2,62.2,55.294590139200004,128.3345901392,84.9345901392,4,13,6,0.0,0.4
21,Smiles,0,22,C,C.23,3,20.1,17.700000000000003,0,0,1,46.9,0.8125,22.990253000000003,41.1,41.1,33.68038988,107.18038987999999,57.88038988,2,10,2,0.0,0.4
22,Smiles,0,23,N,N.24,2,13.4,11.8,0,0,0,53.6,0.875,2.3997079999999986,42.6,142.6,135.50401168,209.50401168,154.30401168,14,14,14,100.0,0.4
