substrate_smiles,output,number
COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21,CYP3A4|COc1c(OCCCN2CCOCC2=O)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21<separated>CYP3A4|COc1c(O)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21<separated>CYP3A4|COc1c(OCCCNCCO)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21<separated>CYP3A4|COc1c(OCCCN(C=O)CCO)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21<separated>CYP3A4|COc1c(OCCCO)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21<separated>CYP3A4|COc1c(OCCC(=O)O)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,6
COC1=CC(C)=C2NC=CC2=C1CN1CC[C@H](O)C[C@H]1C1=CC=C(C(=O)O)C=C1,UGT1A1|UGT1A3|UGT1A8|COc1cc(C)c2[nH]ccc2c1CN1CC[C@H](O)C[C@H]1c1ccc(C(=O)OC2O[C@H](C(C)=O)[C@@H](O)[C@H](O)[C@H]2O)cc1,1
COC1=CC(NC2=C(C#N)C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)=C(Cl)C=C1Cl,CYP3A4|COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCNCC4)c(OC)cc23)c(Cl)cc1Cl<separated>CYP3A4|COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1O,2
COC1=CC(OC)=CC(N(CCNC(C)C)C2=CC=C3N=CC(C4=CN(C)N=C4)=NC3=C2)=C1,CYP2C9|CYP3A4|COc1cc(O)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,1
COC1=CC2=C(C=C1OC)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2,CYP2D6|COc1cc2c(cc1O)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2<separated>CYP2D6|COc1cc2c(cc1O)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21,2
COC1=CC=C2N=C(S(=O)CC3=NC=C(C)C(OC)=C3C)NC2=C1,CYP2C19|COc1c(C)cnc(C[S+](O)c2nc3cc(O)ccc3[nH]2)c1C,1
COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C(O)=C1C2=O)C[C@@](O)(C(=O)CO)CC3,ADH|AKR1C3|COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(O)CO)CC3,1
COC1=NC2=CC=C(Br)C=C2C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=CC=CC=C12,CYP3A4|CNCC[C@@](O)(c1cccc2ccccc12)[C@H](c1ccccc1)c1cc2cc(Br)ccc2nc1OC,1
CS(=O)(=O)C1=CC=C(C(=O)NC2=CC=C(Cl)C(C3=CC=CC=N3)=C2)C(Cl)=C1,CYP3A4|CYP3A5|CS(=O)(=O)c1ccc(C(=O)Nc2cc(O)c(Cl)c(-c3ccccn3)c2)c(Cl)c1<separated>CYP2C9|CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccc(O)cn3)c2)c(Cl)c1,2
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]23OO4,UGT1A9|UGT2B7|C[C@@H]1CCC2[C@@H](C)C(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)O[C@@H]3O[C@@]4(C)CCC1[C@@]23OO4,1
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2C1=CC=CN=C1,CYP3A4|SULT|C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1<separated>SULT|C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@@H]1CC=C2c1ccc[n+]([O-])c1,2
CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=CC=C(O)C=C2N1,UGT|Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2[nH]1,1
CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=CC=CC=C2N1,CYP3A4|Cc1c(OCC(F)(F)F)ccnc1CS(=O)(=O)c1nc2ccccc2[nH]1,1
