,Molecule_Name,Molecule_Number,Atom_Number,Atom_Name,Atom,Span2end,Span2end_N_Correction,Span2end_CO_Correction,COO-Dist,COO_Correction,N+dist,N_Correction,Relative Span,2DSASA,Reactivity,Energy,3A4 Score,2D6 Score,2C9 Score,3A4 Ranking,2D6 Ranking,2C9 Ranking,N_ox,Similarity
0,Smiles,0,0,C,C.1,0,0.0,0.0,0,0,0,0,1.0,57.366539999999986,75.9,75.9,65.60533840000001,73.60533840000001,73.60533840000001,3,2,2,0.0,1.0
1,Smiles,0,1,C,C.2,1,6.7,5.9,0,0,0,0,0.9,7.478704899999998,999.0,999.0,991.5008518039999,1005.400851804,1004.600851804,14,14,14,0.0,0.0
2,Smiles,0,2,O,O.3,0,0.0,0.0,0,0,0,0,1.0,0.0,999.0,999.0,991.0,999.0,999.0,13,13,13,0.0,1.0
3,Smiles,0,3,N,N.4,2,13.4,11.8,0,0,0,0,0.8,14.625016640000005,89.6,89.6,82.61499933439998,102.4149993344,100.81499933439999,11,9,9,0.0,0.3333333333333333
4,Smiles,0,4,C,C.5,3,20.1,17.700000000000003,0,0,0,0,0.7,4.6139307999999986,999.0,999.0,993.215442768,1018.915442768,1016.5154427680001,18,18,18,0.0,0.0
5,Smiles,0,5,C,C.6,2,13.4,11.8,0,0,0,0,0.8,26.178135040000008,80.8,80.8,73.35287459839999,93.1528745984,91.5528745984,5,7,7,0.0,0.6666666666666666
6,Smiles,0,6,C,C.7,3,20.1,17.700000000000003,0,0,0,0,0.7,23.057521039999997,86.3,86.3,79.7776991584,105.4776991584,103.0776991584,10,10,10,0.0,1.0
7,Smiles,0,7,C,C.8,4,26.84,23.64,0,0,0,0,0.6,4.114784799999997,999.0,999.0,994.035408608,1025.675408608,1022.475408608,20,20,20,0.0,0.0
8,Smiles,0,8,C,C.9,5,26.85,23.650000000000002,0,0,0,0,0.5,2.0004174,999.0,999.0,994.919983304,1025.7699833039999,1022.569983304,22,22,22,0.0,0.0
9,Smiles,0,9,C,C.10,4,26.84,23.64,0,0,0,0,0.6,16.521997040000002,80.8,80.8,75.3391201184,106.9791201184,103.7791201184,7,11,11,0.0,0.3333333333333333
10,Smiles,0,10,C,C.11,4,26.84,23.64,0,0,0,0,0.6,1.8600735999999998,999.0,999.0,994.1255970560001,1025.765597056,1022.565597056,21,21,21,0.0,0.0
11,Smiles,0,11,C,C.12,3,20.1,17.700000000000003,0,0,0,0,0.7,2.1245924,999.0,999.0,993.315016304,1019.015016304,1016.615016304,19,19,19,0.0,0.0
12,Smiles,0,12,C,C.13,2,13.4,11.8,0,0,0,0,0.8,25.047512040000004,80.8,80.8,73.39809951839999,93.1980995184,91.59809951839999,6,8,8,0.0,0.6666666666666666
13,Smiles,0,13,C,C.14,1,6.7,5.9,0,0,0,0,0.9,32.67395204,84.1,84.1,75.59304191839999,89.4930419184,88.6930419184,8,5,5,0.0,1.0
14,Smiles,0,14,C,C.15,0,0.0,0.0,0,0,0,0,1.0,34.32346004000001,80.8,80.8,71.4270615984,79.4270615984,79.4270615984,4,3,4,0.0,1.0
15,Smiles,0,15,C,C.16,1,6.7,5.9,0,0,0,0,0.9,28.220816040000003,84.1,84.1,75.77116735839999,89.6711673584,88.8711673584,9,6,6,0.0,1.0
16,Smiles,0,16,C,C.17,2,13.4,11.8,0,0,0,0,0.8,3.9933678,999.0,999.0,992.440265288,1012.2402652879999,1010.6402652879999,17,17,17,0.0,0.0
17,Smiles,0,18,N,N.19,3,20.1,17.700000000000003,0,0,0,0,0.7,12.149402639999998,61.9,61.9,55.814023894399995,81.5140238944,79.11402389439999,2,4,3,0.0,0.3333333333333333
18,Smiles,0,19,C,C.20,2,13.4,11.8,0,0,0,0,0.8,30.5542096,48.5,48.5,40.877831616,60.677831616,59.077831616,1,1,1,0.0,0.3333333333333333
19,Smiles,0,20,C,C.21,2,13.4,11.8,0,0,0,0,0.8,6.957014599999999,999.0,999.0,992.3217194160001,1012.121719416,1010.521719416,16,16,16,0.0,0.0
20,Smiles,0,21,O,O.22,1,6.7,5.9,0,0,0,0,0.9,0.0,999.0,999.0,991.8,1005.7,1004.9,15,15,15,0.0,0.3333333333333333
21,Smiles,0,22,N,N.23,3,20.1,17.700000000000003,0,0,0,0,0.7,15.36560664,89.6,89.6,83.3853757344,109.08537573439999,106.6853757344,12,12,12,0.0,0.3333333333333333
