"Atom number","Rang","Delta P"
"31","1","0.106"
"52","2","0.106"
"40","3","-0.076"
"45","4","-0.076"
"39","5","-0.144"
"46","6","-0.144"
"33","7","-0.254"
"54","8","-0.254"
"41","9","-0.266"
"44","10","-0.266"
"35","11","-0.359"
"56","12","-0.359"
"5","13","-0.363"
"19","14","-0.363"
"26","15","-0.405"
"47","16","-0.405"
"37","17","-0.457"
"58","18","-0.457"
"11","19","-0.476"
"12","20","-0.476"
"6","21","-0.537"
"20","22","-0.537"
"23","23","-0.539"
"61","24","-0.539"
"30","25","-0.548"
"51","26","-0.548"
"2","27","-0.556"
"16","28","-0.556"
"25","29","-0.556"
"60","30","-0.556"
"10","31","-0.560"
"14","32","-0.560"
"28","33","-0.575"
"49","34","-0.575"
"8","35","-0.585"
"22","36","-0.585"
"24","37","-0.635"
"62","38","-0.635"
"42","39","-0.641"
"43","40","-0.641"
"4","41","-0.735"
"15","42","-0.735"
"9","43","-0.756"
"13","44","-0.756"
"1","45","-0.761"
"17","46","-0.761"
"32","47","-0.761"
"34","48","-0.761"
"53","49","-0.761"
"55","50","-0.761"
"7","51","-0.811"
"21","52","-0.811"
"36","53","-0.811"
"57","54","-0.811"
"3","55","-0.853"
"18","56","-0.853"
"27","57","-0.853"
"29","58","-0.853"
"38","59","-0.853"
"48","60","-0.853"
"50","61","-0.853"
"59","62","-0.853"
