"Atom number","Rang","Delta P"
"18","1","0.494"
"9","2","0.429"
"25","3","0.301"
"11","4","0.227"
"19","5","0.227"
"26","6","0.170"
"27","7","0.170"
"16","8","0.145"
"17","9","0.145"
"15","10","0.103"
"10","11","0.100"
"14","12","0.071"
"13","13","-0.082"
"7","14","-0.103"
"20","15","-0.121"
"22","16","-0.126"
"29","17","-0.126"
"12","18","-0.151"
"23","19","-0.167"
"28","20","-0.167"
"4","21","-0.185"
"5","22","-0.189"
"6","23","-0.195"
"21","24","-0.253"
"8","25","-0.303"
"2","26","-0.344"
"1","27","-0.389"
"24","28","-0.505"
"3","29","-0.565"
