"Atom number","Rang","Delta P"
"9","1","0.211"
"11","2","0.116"
"19","3","0.116"
"16","4","0.029"
"17","5","0.029"
"15","6","-0.008"
"23","7","-0.058"
"28","8","-0.058"
"18","9","-0.068"
"10","10","-0.136"
"13","11","-0.160"
"22","12","-0.221"
"29","13","-0.221"
"14","14","-0.265"
"6","15","-0.346"
"5","16","-0.361"
"7","17","-0.387"
"4","18","-0.404"
"12","19","-0.409"
"26","20","-0.411"
"27","21","-0.411"
"21","22","-0.427"
"2","23","-0.432"
"1","24","-0.438"
"24","25","-0.476"
"25","26","-0.519"
"20","27","-0.556"
"8","28","-0.564"
"3","29","-0.585"
