"Atom number","Rang","Delta P"
"1","1","0.570"
"11","2","0.518"
"7","3","0.141"
"8","4","0.095"
"22","5","0.036"
"27","6","0.005"
"14","7","-0.061"
"9","8","-0.066"
"6","9","-0.107"
"13","10","-0.135"
"29","11","-0.208"
"17","12","-0.217"
"21","13","-0.249"
"18","14","-0.279"
"23","15","-0.402"
"3","16","-0.406"
"20","17","-0.406"
"12","18","-0.419"
"4","19","-0.462"
"15","20","-0.472"
"28","21","-0.537"
"16","22","-0.540"
"25","23","-0.545"
"10","24","-0.567"
"5","25","-0.579"
"26","26","-0.620"
"24","27","-0.630"
"2","28","-0.682"
"19","29","-0.809"
