"Atom number","Rang","Delta P"
"47","1","0.430"
"1","2","0.419"
"7","3","0.419"
"46","4","0.323"
"10","5","0.305"
"4","6","0.285"
"45","7","0.276"
"3","8","0.224"
"5","9","0.224"
"20","10","0.221"
"33","11","0.221"
"19","12","0.166"
"21","13","0.166"
"32","14","0.166"
"34","15","0.166"
"15","16","0.137"
"24","17","0.137"
"28","18","0.137"
"40","19","0.137"
"41","20","0.137"
"39","21","0.062"
"27","22","-0.024"
"42","23","-0.049"
"43","24","-0.049"
"18","25","-0.056"
"22","26","-0.056"
"31","27","-0.056"
"35","28","-0.056"
"16","29","-0.116"
"11","30","-0.135"
"12","31","-0.139"
"38","32","-0.139"
"29","33","-0.140"
"14","34","-0.192"
"8","35","-0.202"
"50","36","-0.207"
"49","37","-0.225"
"37","38","-0.251"
"17","39","-0.270"
"30","40","-0.289"
"44","41","-0.303"
"13","42","-0.347"
"36","43","-0.365"
"9","44","-0.389"
"48","45","-0.395"
"2","46","-0.411"
"6","47","-0.411"
"23","48","-0.438"
"25","49","-0.524"
"26","50","-0.527"
