"Atom number","Rang","Delta P"
"21","1","0.819"
"32","2","0.703"
"33","3","0.551"
"1","4","-0.024"
"3","5","-0.143"
"14","6","-0.146"
"26","7","-0.151"
"2","8","-0.160"
"34","9","-0.214"
"5","10","-0.257"
"8","11","-0.257"
"17","12","-0.257"
"20","13","-0.257"
"24","14","-0.257"
"27","15","-0.257"
"30","16","-0.257"
"29","17","-0.262"
"23","18","-0.281"
"12","19","-0.308"
"13","20","-0.345"
"15","21","-0.365"
"19","22","-0.408"
"22","23","-0.478"
"16","24","-0.480"
"10","25","-0.546"
"7","26","-0.628"
"18","27","-0.650"
"4","28","-0.655"
"11","29","-0.709"
"6","30","-0.720"
"25","31","-0.732"
"28","32","-0.732"
"31","33","-0.732"
"9","34","-0.832"
