"Atom number","Rang","Delta P"
"1","1","0.722"
"3","2","0.722"
"6","3","0.231"
"13","4","0.070"
"28","5","0.070"
"16","6","0.006"
"10","7","-0.116"
"4","8","-0.138"
"20","9","-0.148"
"26","10","-0.148"
"2","11","-0.187"
"19","12","-0.247"
"27","13","-0.247"
"14","14","-0.254"
"23","15","-0.279"
"12","16","-0.325"
"29","17","-0.325"
"8","18","-0.342"
"17","19","-0.353"
"18","20","-0.367"
"5","21","-0.416"
"21","22","-0.435"
"25","23","-0.488"
"9","24","-0.512"
"22","25","-0.555"
"11","26","-0.558"
"24","27","-0.575"
"15","28","-0.655"
"7","29","-0.688"
