"Atom number","Rang","Delta P"
"24","1","0.204"
"11","2","0.055"
"23","3","-0.072"
"8","4","-0.084"
"5","5","-0.103"
"26","6","-0.105"
"3","7","-0.109"
"20","8","-0.138"
"16","9","-0.241"
"1","10","-0.272"
"12","11","-0.274"
"6","12","-0.348"
"4","13","-0.400"
"25","14","-0.401"
"27","15","-0.447"
"9","16","-0.473"
"14","17","-0.473"
"22","18","-0.481"
"19","19","-0.506"
"7","20","-0.530"
"10","21","-0.536"
"13","22","-0.536"
"17","23","-0.585"
"18","24","-0.595"
"15","25","-0.607"
"2","26","-0.629"
"21","27","-0.696"
