"Atom number","Rang","Delta P"
"1","1","0.720"
"11","2","0.378"
"22","3","0.166"
"7","4","0.024"
"8","5","0.016"
"27","6","-0.057"
"9","7","-0.071"
"6","8","-0.220"
"13","9","-0.270"
"14","10","-0.270"
"29","11","-0.328"
"21","12","-0.331"
"3","13","-0.398"
"26","14","-0.494"
"18","15","-0.504"
"20","16","-0.506"
"12","17","-0.512"
"25","18","-0.512"
"16","19","-0.515"
"5","20","-0.517"
"4","21","-0.532"
"17","22","-0.557"
"15","23","-0.565"
"24","24","-0.610"
"28","25","-0.629"
"10","26","-0.693"
"23","27","-0.725"
"2","28","-0.729"
"19","29","-0.754"
