"Atom number","Rang","Delta P"
"4","1","0.155"
"1","2","0.137"
"3","3","0.137"
"17","4","0.092"
"20","5","0.092"
"6","6","-0.054"
"8","7","-0.054"
"13","8","-0.054"
"26","9","-0.054"
"7","10","-0.282"
"25","11","-0.296"
"16","12","-0.348"
"21","13","-0.348"
"5","14","-0.353"
"2","15","-0.367"
"23","16","-0.385"
"18","17","-0.395"
"24","18","-0.412"
"27","19","-0.430"
"12","20","-0.437"
"28","21","-0.467"
"11","22","-0.510"
"22","23","-0.561"
"9","24","-0.577"
"10","25","-0.583"
"15","26","-0.601"
"29","27","-0.654"
"14","28","-0.676"
"19","29","-0.768"
