"Atom number","Rang","Delta P"
"26","1","0.032"
"27","2","0.031"
"28","3","-0.111"
"5","4","-0.131"
"10","5","-0.160"
"25","6","-0.195"
"3","7","-0.200"
"7","8","-0.200"
"9","9","-0.200"
"12","10","-0.200"
"23","11","-0.200"
"30","12","-0.200"
"1","13","-0.202"
"22","14","-0.276"
"33","15","-0.277"
"4","16","-0.289"
"32","17","-0.353"
"11","18","-0.495"
"24","19","-0.540"
"21","20","-0.553"
"6","21","-0.564"
"14","22","-0.608"
"16","23","-0.618"
"31","24","-0.693"
"2","25","-0.694"
"15","26","-0.695"
"17","27","-0.732"
"29","28","-0.743"
"8","29","-0.777"
"13","30","-0.860"
"18","31","-0.890"
"19","32","-0.906"
"20","33","-0.977"
