"Atom number","Rang","Delta P"
"27","1","0.645"
"2","2","0.307"
"30","3","-0.099"
"31","4","-0.169"
"6","5","-0.178"
"10","6","-0.202"
"18","7","-0.210"
"14","8","-0.219"
"15","9","-0.252"
"29","10","-0.255"
"3","11","-0.280"
"4","12","-0.280"
"1","13","-0.283"
"24","14","-0.329"
"8","15","-0.330"
"23","16","-0.336"
"39","17","-0.340"
"22","18","-0.343"
"37","19","-0.351"
"34","20","-0.352"
"25","21","-0.364"
"11","22","-0.374"
"28","23","-0.464"
"5","24","-0.466"
"9","25","-0.487"
"19","26","-0.500"
"17","27","-0.508"
"33","28","-0.516"
"7","29","-0.522"
"36","30","-0.526"
"16","31","-0.540"
"20","32","-0.546"
"32","33","-0.564"
"12","34","-0.573"
"13","35","-0.594"
"26","36","-0.616"
"35","37","-0.617"
"21","38","-0.633"
"40","39","-0.651"
"38","40","-0.664"
