"Atom number","Rang","Delta P"
"12","1","0.392"
"39","2","0.085"
"9","3","-0.029"
"29","4","-0.030"
"33","5","-0.030"
"2","6","-0.033"
"36","7","-0.070"
"26","8","-0.072"
"34","9","-0.076"
"14","10","-0.134"
"15","11","-0.134"
"27","12","-0.150"
"10","13","-0.165"
"35","14","-0.165"
"11","15","-0.171"
"28","16","-0.173"
"37","17","-0.173"
"38","18","-0.190"
"1","19","-0.198"
"6","20","-0.234"
"13","21","-0.240"
"31","22","-0.252"
"16","23","-0.264"
"30","24","-0.273"
"32","25","-0.273"
"5","26","-0.275"
"21","27","-0.289"
"22","28","-0.289"
"23","29","-0.289"
"4","30","-0.328"
"7","31","-0.330"
"8","32","-0.333"
"20","33","-0.380"
"3","34","-0.398"
"17","35","-0.408"
"25","36","-0.408"
"19","37","-0.420"
"18","38","-0.499"
"24","39","-0.499"
