"Atom number","Rang","Delta P"
"1","1","0.877"
"18","2","0.094"
"17","3","-0.209"
"7","4","-0.216"
"8","5","-0.268"
"15","6","-0.280"
"11","7","-0.304"
"12","8","-0.383"
"16","9","-0.406"
"27","10","-0.462"
"21","11","-0.487"
"10","12","-0.493"
"2","13","-0.502"
"28","14","-0.506"
"3","15","-0.516"
"22","16","-0.533"
"26","17","-0.556"
"13","18","-0.605"
"4","19","-0.608"
"9","20","-0.630"
"6","21","-0.635"
"23","22","-0.653"
"19","23","-0.692"
"20","24","-0.696"
"5","25","-0.711"
"25","26","-0.768"
"24","27","-0.787"
"14","28","-0.828"
