"Atom number","Rang","Delta P"
"1","1","0.588"
"18","2","0.548"
"12","3","0.087"
"15","4","0.085"
"17","5","0.048"
"7","6","0.021"
"11","7","0.009"
"8","8","-0.003"
"23","9","-0.106"
"16","10","-0.140"
"14","11","-0.155"
"27","12","-0.159"
"13","13","-0.163"
"22","14","-0.172"
"9","15","-0.198"
"25","16","-0.225"
"21","17","-0.226"
"26","18","-0.252"
"10","19","-0.302"
"6","20","-0.367"
"20","21","-0.368"
"19","22","-0.386"
"24","23","-0.386"
"28","24","-0.405"
"4","25","-0.408"
"3","26","-0.434"
"2","27","-0.446"
"5","28","-0.464"
