"Atom number","Rang","Delta P"
"1","1","0.576"
"18","2","0.252"
"22","3","0.242"
"17","4","0.143"
"19","5","0.096"
"16","6","0.054"
"7","7","0.041"
"14","8","0.002"
"11","9","-0.034"
"4","10","-0.059"
"28","11","-0.059"
"23","12","-0.241"
"5","13","-0.266"
"27","14","-0.266"
"12","15","-0.352"
"25","16","-0.359"
"3","17","-0.375"
"21","18","-0.385"
"8","19","-0.390"
"9","20","-0.390"
"26","21","-0.401"
"10","22","-0.442"
"6","23","-0.492"
"15","24","-0.512"
"24","25","-0.522"
"13","26","-0.620"
"20","27","-0.679"
"2","28","-0.734"
