"Atom number","Rang","Delta P"
"21","1","0.399"
"22","2","0.399"
"23","3","0.399"
"1","4","0.296"
"31","5","0.211"
"38","6","0.166"
"37","7","0.132"
"5","8","-0.128"
"6","9","-0.162"
"7","10","-0.271"
"4","11","-0.273"
"20","12","-0.282"
"18","13","-0.370"
"24","14","-0.370"
"30","15","-0.370"
"32","16","-0.370"
"29","17","-0.408"
"33","18","-0.408"
"17","19","-0.461"
"25","20","-0.461"
"13","21","-0.518"
"19","22","-0.528"
"8","23","-0.549"
"3","24","-0.608"
"14","25","-0.638"
"15","26","-0.638"
"28","27","-0.650"
"26","28","-0.680"
"16","29","-0.689"
"27","30","-0.702"
"34","31","-0.731"
"39","32","-0.757"
"10","33","-0.774"
"35","34","-0.785"
"2","35","-0.799"
"9","36","-0.799"
"11","37","-0.837"
"36","38","-0.849"
"12","39","-0.886"
