"Atom number","Rang","Delta P"
"18","1","0.002"
"10","2","-0.030"
"15","3","-0.030"
"2","4","-0.038"
"6","5","-0.047"
"29","6","-0.059"
"17","7","-0.090"
"30","8","-0.102"
"23","9","-0.116"
"16","10","-0.120"
"1","11","-0.155"
"19","12","-0.161"
"20","13","-0.181"
"21","14","-0.181"
"13","15","-0.215"
"12","16","-0.235"
"22","17","-0.243"
"11","18","-0.254"
"7","19","-0.257"
"14","20","-0.260"
"28","21","-0.261"
"24","22","-0.269"
"26","23","-0.270"
"8","24","-0.288"
"4","25","-0.309"
"9","26","-0.320"
"3","27","-0.356"
"25","28","-0.370"
"27","29","-0.389"
"5","30","-0.409"
