"Atom number","Rang","Delta P"
"21","1","0.311"
"24","2","0.311"
"13","3","0.085"
"14","4","-0.016"
"9","5","-0.134"
"25","6","-0.134"
"12","7","-0.145"
"6","8","-0.191"
"15","9","-0.252"
"8","10","-0.272"
"26","11","-0.272"
"2","12","-0.293"
"17","13","-0.342"
"22","14","-0.367"
"23","15","-0.367"
"4","16","-0.447"
"10","17","-0.473"
"1","18","-0.548"
"3","19","-0.548"
"18","20","-0.593"
"19","21","-0.593"
"7","22","-0.693"
"11","23","-0.696"
"16","24","-0.765"
"20","25","-0.813"
"5","26","-0.919"
