"Atom number","Rang","Delta P"
"1","1","0.825"
"3","2","0.825"
"6","3","0.379"
"10","4","0.169"
"13","5","0.068"
"28","6","0.068"
"20","7","0.004"
"26","8","0.004"
"4","9","-0.022"
"2","10","-0.066"
"16","11","-0.110"
"14","12","-0.123"
"12","13","-0.161"
"29","14","-0.161"
"8","15","-0.172"
"19","16","-0.221"
"27","17","-0.221"
"11","18","-0.354"
"5","19","-0.359"
"9","20","-0.383"
"21","21","-0.398"
"18","22","-0.403"
"17","23","-0.436"
"7","24","-0.551"
"25","25","-0.594"
"23","26","-0.633"
"22","27","-0.667"
"15","28","-0.720"
"24","29","-0.738"
