"Atom number","Rang","Delta P"
"1","1","0.493"
"18","2","0.107"
"17","3","0.013"
"22","4","-0.002"
"16","5","-0.027"
"19","6","-0.041"
"7","7","-0.069"
"4","8","-0.109"
"28","9","-0.109"
"14","10","-0.167"
"11","11","-0.204"
"5","12","-0.311"
"27","13","-0.311"
"12","14","-0.389"
"23","15","-0.397"
"25","16","-0.412"
"21","17","-0.420"
"26","18","-0.446"
"8","19","-0.451"
"9","20","-0.451"
"3","21","-0.496"
"6","22","-0.513"
"10","23","-0.533"
"15","24","-0.549"
"20","25","-0.638"
"13","26","-0.641"
"24","27","-0.665"
"2","28","-0.712"
