"Atom number","Rang","Delta P"
"18","1","0.507"
"20","2","0.507"
"2","3","0.498"
"16","4","0.154"
"25","5","0.131"
"24","6","0.072"
"8","7","-0.018"
"28","8","-0.074"
"29","9","-0.074"
"23","10","-0.104"
"26","11","-0.115"
"1","12","-0.137"
"9","13","-0.154"
"12","14","-0.188"
"4","15","-0.231"
"14","16","-0.309"
"19","17","-0.314"
"21","18","-0.314"
"15","19","-0.373"
"22","20","-0.443"
"17","21","-0.462"
"11","22","-0.476"
"10","23","-0.482"
"5","24","-0.522"
"27","25","-0.522"
"7","26","-0.557"
"13","27","-0.631"
"6","28","-0.647"
"3","29","-0.749"
