"Atom number","Rang","Delta P"
"19","1","0.427"
"29","2","0.155"
"14","3","-0.056"
"28","4","-0.074"
"6","5","-0.095"
"8","6","-0.095"
"13","7","-0.095"
"26","8","-0.095"
"4","9","-0.099"
"23","10","-0.100"
"9","11","-0.108"
"24","12","-0.109"
"11","13","-0.130"
"1","14","-0.151"
"3","15","-0.151"
"2","16","-0.244"
"5","17","-0.266"
"22","18","-0.317"
"25","19","-0.329"
"27","20","-0.371"
"7","21","-0.419"
"15","22","-0.446"
"10","23","-0.475"
"18","24","-0.565"
"16","25","-0.610"
"21","26","-0.610"
"17","27","-0.638"
"20","28","-0.638"
"12","29","-0.719"
