"Atom number","Rang","Delta P"
"26","1","0.105"
"25","2","0.045"
"24","3","0.043"
"2","4","-0.015"
"27","5","-0.040"
"4","6","-0.071"
"11","7","-0.105"
"15","8","-0.145"
"1","9","-0.150"
"16","10","-0.163"
"29","11","-0.171"
"9","12","-0.184"
"17","13","-0.186"
"12","14","-0.187"
"7","15","-0.199"
"8","16","-0.199"
"28","17","-0.220"
"6","18","-0.248"
"5","19","-0.257"
"21","20","-0.257"
"13","21","-0.258"
"14","22","-0.258"
"3","23","-0.263"
"18","24","-0.322"
"10","25","-0.357"
"20","26","-0.384"
"23","27","-0.387"
"19","28","-0.407"
"22","29","-0.480"
