"Atom number","Rang","Delta P"
"1","1","0.779"
"3","2","0.779"
"6","3","0.333"
"20","4","0.063"
"26","5","0.063"
"13","6","-0.016"
"28","7","-0.016"
"16","8","-0.025"
"10","9","-0.077"
"2","10","-0.144"
"4","11","-0.158"
"14","12","-0.253"
"8","13","-0.263"
"21","14","-0.272"
"12","15","-0.278"
"29","16","-0.278"
"19","17","-0.312"
"27","18","-0.312"
"22","19","-0.366"
"9","20","-0.378"
"5","21","-0.380"
"23","22","-0.387"
"17","23","-0.426"
"11","24","-0.436"
"18","25","-0.450"
"25","26","-0.459"
"24","27","-0.507"
"7","28","-0.557"
"15","29","-0.683"
