"Atom number","Rang","Delta P"
"11","1","0.584"
"2","2","0.319"
"40","3","0.316"
"42","4","0.316"
"28","5","0.151"
"29","6","0.062"
"13","7","-0.016"
"17","8","-0.016"
"14","9","-0.019"
"16","10","-0.019"
"8","11","-0.021"
"19","12","-0.021"
"39","13","-0.029"
"43","14","-0.029"
"31","15","-0.038"
"1","16","-0.057"
"37","17","-0.071"
"38","18","-0.090"
"25","19","-0.093"
"33","20","-0.109"
"12","21","-0.112"
"5","22","-0.118"
"9","23","-0.140"
"18","24","-0.140"
"30","25","-0.165"
"20","26","-0.256"
"27","27","-0.361"
"4","28","-0.368"
"34","29","-0.418"
"35","30","-0.418"
"41","31","-0.454"
"36","32","-0.459"
"15","33","-0.467"
"32","34","-0.485"
"7","35","-0.489"
"3","36","-0.540"
"10","37","-0.557"
"21","38","-0.560"
"26","39","-0.568"
"6","40","-0.615"
"22","41","-0.615"
"23","42","-0.646"
"24","43","-0.806"
