"Atom number","Rang","Delta P"
"27","1","0.770"
"2","2","0.567"
"8","3","0.310"
"30","4","0.216"
"6","5","0.214"
"31","6","0.185"
"24","7","0.168"
"14","8","0.137"
"29","9","0.088"
"15","10","0.083"
"10","11","0.068"
"34","12","0.042"
"23","13","0.035"
"18","14","0.034"
"3","15","0.005"
"4","16","0.005"
"37","17","-0.002"
"11","18","-0.007"
"1","19","-0.009"
"25","20","-0.027"
"39","21","-0.048"
"17","22","-0.055"
"7","23","-0.059"
"5","24","-0.110"
"36","25","-0.125"
"9","26","-0.140"
"28","27","-0.168"
"35","28","-0.177"
"33","29","-0.180"
"12","30","-0.206"
"32","31","-0.243"
"26","32","-0.265"
"19","33","-0.267"
"13","34","-0.304"
"40","35","-0.304"
"16","36","-0.330"
"22","37","-0.346"
"20","38","-0.428"
"21","39","-0.480"
"38","40","-0.500"
