"Atom number","Rang","Delta P"
"14","1","0.017"
"7","2","0.011"
"10","3","0.011"
"6","4","-0.006"
"17","5","-0.016"
"13","6","-0.045"
"19","7","-0.054"
"27","8","-0.080"
"31","9","-0.106"
"12","10","-0.108"
"8","11","-0.112"
"9","12","-0.112"
"23","13","-0.123"
"15","14","-0.126"
"5","15","-0.135"
"28","16","-0.135"
"16","17","-0.141"
"18","18","-0.157"
"29","19","-0.159"
"11","20","-0.161"
"1","21","-0.170"
"32","22","-0.178"
"4","23","-0.188"
"30","24","-0.204"
"2","25","-0.247"
"26","26","-0.251"
"20","27","-0.253"
"22","28","-0.284"
"25","29","-0.287"
"3","30","-0.291"
"21","31","-0.324"
"24","32","-0.374"
