"Atom number","Rang","Delta P"
"1","1","0.581"
"12","2","0.539"
"34","3","0.380"
"35","4","0.380"
"36","5","0.380"
"28","6","0.117"
"6","7","0.071"
"11","8","0.061"
"16","9","0.044"
"7","10","0.011"
"17","11","-0.004"
"14","12","-0.036"
"15","13","-0.036"
"24","14","-0.057"
"9","15","-0.063"
"19","16","-0.067"
"33","17","-0.147"
"13","18","-0.225"
"10","19","-0.279"
"26","20","-0.299"
"20","21","-0.347"
"31","22","-0.351"
"30","23","-0.365"
"23","24","-0.370"
"8","25","-0.402"
"5","26","-0.426"
"18","27","-0.438"
"2","28","-0.471"
"22","29","-0.530"
"32","30","-0.569"
"3","31","-0.605"
"25","32","-0.607"
"21","33","-0.612"
"4","34","-0.614"
"29","35","-0.690"
"27","36","-0.698"
