"Atom number","Rang","Delta P"
"31","1","0.508"
"52","2","0.508"
"40","3","-0.132"
"45","4","-0.132"
"35","5","-0.144"
"56","6","-0.144"
"39","7","-0.161"
"46","8","-0.161"
"33","9","-0.231"
"54","10","-0.231"
"41","11","-0.313"
"44","12","-0.313"
"37","13","-0.403"
"58","14","-0.403"
"28","15","-0.434"
"49","16","-0.434"
"24","17","-0.439"
"62","18","-0.439"
"30","19","-0.509"
"51","20","-0.509"
"27","21","-0.525"
"29","22","-0.525"
"32","23","-0.525"
"48","24","-0.525"
"50","25","-0.525"
"53","26","-0.525"
"2","27","-0.541"
"16","28","-0.541"
"5","29","-0.605"
"19","30","-0.605"
"1","31","-0.607"
"17","32","-0.607"
"10","33","-0.613"
"14","34","-0.613"
"11","35","-0.668"
"12","36","-0.668"
"26","37","-0.678"
"47","38","-0.678"
"25","39","-0.679"
"60","40","-0.679"
"7","41","-0.682"
"21","42","-0.682"
"34","43","-0.682"
"36","44","-0.682"
"38","45","-0.682"
"55","46","-0.682"
"57","47","-0.682"
"59","48","-0.682"
"23","49","-0.708"
"61","50","-0.708"
"42","51","-0.732"
"43","52","-0.732"
"3","53","-0.754"
"18","54","-0.754"
"6","55","-0.803"
"20","56","-0.803"
"8","57","-0.814"
"22","58","-0.814"
"9","59","-0.818"
"13","60","-0.818"
"4","61","-0.859"
"15","62","-0.859"
