"Atom number","Rang","Delta P"
"10","1","0.203"
"9","2","0.047"
"31","3","0.027"
"21","4","-0.066"
"4","5","-0.128"
"2","6","-0.140"
"1","7","-0.144"
"15","8","-0.170"
"3","9","-0.180"
"6","10","-0.180"
"8","11","-0.180"
"22","12","-0.180"
"26","13","-0.205"
"33","14","-0.210"
"24","15","-0.216"
"12","16","-0.245"
"18","17","-0.246"
"35","18","-0.251"
"36","19","-0.251"
"20","20","-0.254"
"34","21","-0.277"
"7","22","-0.279"
"5","23","-0.304"
"16","24","-0.348"
"25","25","-0.362"
"29","26","-0.392"
"30","27","-0.396"
"32","28","-0.397"
"17","29","-0.424"
"19","30","-0.452"
"28","31","-0.496"
"13","32","-0.524"
"23","33","-0.590"
"27","34","-0.624"
"14","35","-0.653"
"11","36","-0.655"
