"Atom number","Rang","Delta P"
"15","1","0.143"
"18","2","0.117"
"21","3","0.023"
"11","4","-0.067"
"13","5","-0.067"
"24","6","-0.067"
"26","7","-0.067"
"22","8","-0.118"
"28","9","-0.125"
"31","10","-0.162"
"30","11","-0.203"
"8","12","-0.220"
"9","13","-0.228"
"14","14","-0.243"
"6","15","-0.248"
"27","16","-0.287"
"5","17","-0.306"
"7","18","-0.399"
"17","19","-0.414"
"19","20","-0.454"
"1","21","-0.472"
"4","22","-0.528"
"20","23","-0.537"
"16","24","-0.544"
"23","25","-0.683"
"3","26","-0.757"
"25","27","-0.761"
"10","28","-0.801"
"12","29","-0.809"
"2","30","-0.816"
"29","31","-0.924"
