"Atom number","Rang","Delta P"
"13","1","0.050"
"17","2","-0.041"
"3","3","-0.045"
"15","4","-0.048"
"6","5","-0.051"
"5","6","-0.076"
"19","7","-0.111"
"21","8","-0.111"
"1","9","-0.133"
"14","10","-0.134"
"16","11","-0.135"
"12","12","-0.144"
"18","13","-0.146"
"20","14","-0.146"
"24","15","-0.146"
"25","16","-0.146"
"23","17","-0.165"
"26","18","-0.178"
"8","19","-0.186"
"10","20","-0.186"
"9","21","-0.188"
"28","22","-0.198"
"29","23","-0.198"
"11","24","-0.199"
"2","25","-0.204"
"27","26","-0.214"
"7","27","-0.228"
"22","28","-0.228"
"4","29","-0.341"
