"Atom number","Rang","Delta P"
"10","1","0.436"
"4","2","0.331"
"1","3","0.306"
"7","4","0.306"
"41","5","0.262"
"27","6","0.224"
"42","7","0.197"
"43","8","0.197"
"14","9","0.192"
"20","10","0.152"
"33","11","0.152"
"39","12","0.114"
"19","13","0.112"
"21","14","0.112"
"32","15","0.112"
"34","16","0.112"
"15","17","0.109"
"24","18","0.109"
"28","19","0.109"
"40","20","0.109"
"45","21","0.064"
"46","22","0.048"
"29","23","0.024"
"47","24","-0.034"
"16","25","-0.040"
"3","26","-0.054"
"5","27","-0.054"
"11","28","-0.124"
"18","29","-0.140"
"22","30","-0.140"
"31","31","-0.140"
"35","32","-0.140"
"26","33","-0.164"
"12","34","-0.179"
"38","35","-0.179"
"50","36","-0.226"
"37","37","-0.231"
"23","38","-0.233"
"8","39","-0.249"
"30","40","-0.256"
"49","41","-0.270"
"17","42","-0.321"
"36","43","-0.322"
"44","44","-0.323"
"2","45","-0.352"
"6","46","-0.352"
"13","47","-0.383"
"25","48","-0.410"
"48","49","-0.412"
"9","50","-0.465"
