"Atom number","Rang","Delta P"
"31","1","0.692"
"6","2","0.324"
"27","3","0.212"
"35","4","0.174"
"25","5","0.150"
"37","6","0.142"
"8","7","0.140"
"24","8","0.102"
"7","9","0.095"
"1","10","0.058"
"23","11","0.046"
"4","12","-0.001"
"14","13","-0.015"
"26","14","-0.032"
"15","15","-0.087"
"16","16","-0.087"
"19","17","-0.094"
"2","18","-0.101"
"17","19","-0.104"
"12","20","-0.106"
"34","21","-0.127"
"10","22","-0.138"
"9","23","-0.162"
"29","24","-0.184"
"32","25","-0.190"
"18","26","-0.202"
"11","27","-0.218"
"13","28","-0.239"
"30","29","-0.261"
"36","30","-0.261"
"22","31","-0.283"
"33","32","-0.290"
"21","33","-0.293"
"28","34","-0.293"
"20","35","-0.381"
"3","36","-0.411"
"5","37","-0.433"
