"Atom number","Rang","Delta P"
"29","1","0.658"
"22","2","0.612"
"25","3","0.293"
"1","4","0.158"
"28","5","0.136"
"24","6","0.131"
"23","7","0.112"
"19","8","0.100"
"43","9","0.100"
"3","10","0.089"
"36","11","0.022"
"33","12","0.009"
"2","13","-0.017"
"35","14","-0.038"
"20","15","-0.059"
"42","16","-0.059"
"27","17","-0.068"
"26","18","-0.102"
"31","19","-0.105"
"9","20","-0.107"
"50","21","-0.112"
"6","22","-0.116"
"10","23","-0.123"
"48","24","-0.123"
"12","25","-0.143"
"4","26","-0.158"
"39","27","-0.159"
"18","28","-0.165"
"44","29","-0.165"
"30","30","-0.175"
"5","31","-0.177"
"11","32","-0.177"
"47","33","-0.177"
"14","34","-0.186"
"15","35","-0.186"
"45","36","-0.186"
"46","37","-0.186"
"49","38","-0.186"
"17","39","-0.211"
"13","40","-0.227"
"16","41","-0.227"
"7","42","-0.232"
"41","43","-0.265"
"8","44","-0.306"
"32","45","-0.306"
"21","46","-0.318"
"34","47","-0.318"
"38","48","-0.338"
"40","49","-0.350"
"37","50","-0.427"
