"Atom number","Rang","Delta P"
"33","1","0.000"
"27","2","-0.044"
"20","3","-0.057"
"17","4","-0.068"
"2","5","-0.070"
"12","6","-0.089"
"24","7","-0.107"
"3","8","-0.150"
"10","9","-0.150"
"14","10","-0.150"
"16","11","-0.150"
"18","12","-0.150"
"22","13","-0.150"
"25","14","-0.150"
"32","15","-0.150"
"23","16","-0.171"
"11","17","-0.178"
"1","18","-0.201"
"30","19","-0.227"
"15","20","-0.229"
"34","21","-0.258"
"28","22","-0.274"
"21","23","-0.319"
"36","24","-0.332"
"29","25","-0.385"
"31","26","-0.394"
"13","27","-0.409"
"4","28","-0.421"
"5","29","-0.451"
"6","30","-0.560"
"19","31","-0.590"
"35","32","-0.673"
"9","33","-0.721"
"26","34","-0.738"
"7","35","-0.802"
"8","36","-0.895"
