"Atom number","Rang","Delta P"
"1","1","0.485"
"18","2","-0.002"
"19","3","-0.054"
"2","4","-0.075"
"16","5","-0.092"
"13","6","-0.101"
"24","7","-0.112"
"25","8","-0.112"
"26","9","-0.112"
"11","10","-0.139"
"28","11","-0.139"
"14","12","-0.152"
"4","13","-0.180"
"10","14","-0.188"
"29","15","-0.188"
"15","16","-0.216"
"27","17","-0.278"
"21","18","-0.298"
"30","19","-0.333"
"20","20","-0.336"
"9","21","-0.344"
"32","22","-0.351"
"23","23","-0.366"
"8","24","-0.402"
"12","25","-0.419"
"17","26","-0.503"
"6","27","-0.616"
"31","28","-0.616"
"22","29","-0.617"
"3","30","-0.674"
"7","31","-0.694"
"5","32","-0.757"
