"Atom number","Rang","Delta P"
"22","1","0.379"
"26","2","0.379"
"9","3","0.099"
"33","4","0.099"
"8","5","0.007"
"34","6","0.007"
"3","7","0.000"
"12","8","-0.054"
"19","9","-0.099"
"30","10","-0.099"
"13","11","-0.101"
"18","12","-0.120"
"31","13","-0.120"
"5","14","-0.166"
"20","15","-0.175"
"1","16","-0.198"
"21","17","-0.208"
"16","18","-0.229"
"2","19","-0.256"
"14","20","-0.258"
"32","21","-0.270"
"7","22","-0.279"
"17","23","-0.282"
"23","24","-0.311"
"27","25","-0.311"
"24","26","-0.317"
"28","27","-0.317"
"6","28","-0.337"
"10","29","-0.338"
"4","30","-0.372"
"11","31","-0.380"
"25","32","-0.436"
"29","33","-0.436"
"15","34","-0.637"
