"Atom number","Rang","Delta P"
"24","1","0.386"
"16","2","0.173"
"14","3","-0.038"
"21","4","-0.041"
"4","5","-0.066"
"27","6","-0.097"
"1","7","-0.103"
"6","8","-0.116"
"2","9","-0.148"
"17","10","-0.220"
"3","11","-0.221"
"7","12","-0.265"
"5","13","-0.270"
"13","14","-0.276"
"10","15","-0.278"
"15","16","-0.287"
"23","17","-0.293"
"18","18","-0.298"
"26","19","-0.298"
"20","20","-0.301"
"8","21","-0.335"
"29","22","-0.335"
"9","23","-0.337"
"28","24","-0.337"
"11","25","-0.347"
"12","26","-0.373"
"22","27","-0.398"
"19","28","-0.436"
"25","29","-0.436"
