"Atom number","Rang","Delta P"
"1","1","0.686"
"8","2","0.273"
"27","3","0.242"
"26","4","0.168"
"5","5","0.095"
"6","6","0.064"
"21","7","0.064"
"3","8","-0.032"
"20","9","-0.086"
"12","10","-0.101"
"18","11","-0.101"
"2","12","-0.235"
"4","13","-0.241"
"19","14","-0.283"
"13","15","-0.294"
"17","16","-0.294"
"28","17","-0.304"
"25","18","-0.345"
"11","19","-0.354"
"15","20","-0.357"
"9","21","-0.368"
"16","22","-0.398"
"10","23","-0.419"
"14","24","-0.474"
"7","25","-0.638"
"23","26","-0.656"
"24","27","-0.706"
"29","28","-0.734"
"30","29","-0.753"
"22","30","-0.772"
