"Atom number","Rang","Delta P"
"2","1","0.361"
"21","2","0.162"
"1","3","0.129"
"4","4","0.125"
"22","5","0.125"
"3","6","0.064"
"20","7","0.036"
"5","8","-0.028"
"11","9","-0.114"
"13","10","-0.114"
"19","11","-0.114"
"9","12","-0.144"
"6","13","-0.154"
"24","14","-0.160"
"8","15","-0.181"
"23","16","-0.184"
"12","17","-0.364"
"25","18","-0.396"
"7","19","-0.438"
"15","20","-0.450"
"17","21","-0.553"
"26","22","-0.581"
"16","23","-0.610"
"10","24","-0.694"
"18","25","-0.768"
"27","26","-0.799"
"14","27","-0.841"
"28","28","-0.921"
