"Atom number","Rang","Delta P"
"2","1","0.381"
"21","2","0.167"
"1","3","0.132"
"22","4","0.128"
"4","5","0.127"
"3","6","0.062"
"20","7","0.036"
"5","8","-0.039"
"9","9","-0.118"
"11","10","-0.139"
"13","11","-0.139"
"19","12","-0.139"
"8","13","-0.161"
"24","14","-0.178"
"23","15","-0.204"
"6","16","-0.261"
"12","17","-0.400"
"25","18","-0.434"
"7","19","-0.481"
"15","20","-0.495"
"17","21","-0.606"
"26","22","-0.633"
"16","23","-0.665"
"10","24","-0.705"
"18","25","-0.804"
"27","26","-0.861"
"14","27","-0.896"
"28","28","-0.953"
