"Atom number","Rang","Delta P"
"2","1","0.082"
"11","2","-0.001"
"3","3","-0.075"
"10","4","-0.075"
"14","5","-0.075"
"16","6","-0.075"
"18","7","-0.075"
"22","8","-0.075"
"25","9","-0.075"
"32","10","-0.075"
"34","11","-0.137"
"12","12","-0.144"
"33","13","-0.218"
"24","14","-0.221"
"30","15","-0.223"
"36","16","-0.223"
"1","17","-0.253"
"27","18","-0.287"
"28","19","-0.363"
"17","20","-0.392"
"20","21","-0.413"
"4","22","-0.419"
"5","23","-0.464"
"23","24","-0.489"
"15","25","-0.626"
"6","26","-0.630"
"29","27","-0.636"
"21","28","-0.663"
"13","29","-0.669"
"35","30","-0.731"
"9","31","-0.755"
"7","32","-0.788"
"31","33","-0.788"
"19","34","-0.797"
"26","35","-0.858"
"8","36","-0.905"
