"Atom number","Rang","Delta P"
"1","1","0.647"
"18","2","0.647"
"12","3","0.641"
"9","4","0.551"
"26","5","0.153"
"30","6","-0.039"
"15","7","-0.135"
"24","8","-0.149"
"14","9","-0.199"
"4","10","-0.378"
"21","11","-0.399"
"27","12","-0.417"
"29","13","-0.485"
"10","14","-0.574"
"16","15","-0.598"
"20","16","-0.612"
"7","17","-0.644"
"19","18","-0.644"
"13","19","-0.682"
"3","20","-0.687"
"5","21","-0.693"
"6","22","-0.707"
"25","23","-0.710"
"23","24","-0.733"
"28","25","-0.776"
"8","26","-0.798"
"17","27","-0.813"
"2","28","-0.850"
"11","29","-0.852"
"22","30","-0.889"
