"Atom number","Rang","Delta P"
"2","1","0.435"
"1","2","0.336"
"12","3","0.330"
"5","4","0.240"
"4","5","0.220"
"3","6","0.207"
"20","7","0.206"
"15","8","0.194"
"21","9","0.193"
"22","10","0.161"
"11","11","0.150"
"13","12","0.150"
"19","13","0.150"
"10","14","0.146"
"23","15","0.119"
"9","16","0.075"
"8","17","0.066"
"24","18","-0.008"
"6","19","-0.013"
"18","20","-0.034"
"16","21","-0.122"
"17","22","-0.215"
"7","23","-0.248"
"25","24","-0.255"
"26","25","-0.368"
"14","26","-0.506"
"27","27","-0.692"
"28","28","-0.842"
