"Atom number","Rang","Delta P"
"1","1","0.639"
"10","2","0.639"
"20","3","0.074"
"25","4","-0.013"
"26","5","-0.040"
"12","6","-0.054"
"15","7","-0.054"
"18","8","-0.054"
"4","9","-0.221"
"23","10","-0.239"
"21","11","-0.349"
"22","12","-0.349"
"7","13","-0.425"
"19","14","-0.440"
"11","15","-0.467"
"14","16","-0.475"
"3","17","-0.511"
"8","18","-0.589"
"17","19","-0.597"
"24","20","-0.639"
"13","21","-0.672"
"6","22","-0.698"
"5","23","-0.717"
"2","24","-0.757"
"9","25","-0.757"
"16","26","-0.780"
