"Atom number","Rang","Delta P"
"22","1","0.212"
"26","2","0.212"
"12","3","0.184"
"3","4","0.152"
"9","5","0.117"
"33","6","0.117"
"18","7","0.107"
"19","8","0.107"
"30","9","0.107"
"31","10","0.107"
"1","11","0.106"
"20","12","0.038"
"14","13","0.014"
"8","14","-0.041"
"34","15","-0.041"
"17","16","-0.048"
"21","17","-0.050"
"13","18","-0.119"
"23","19","-0.120"
"27","20","-0.120"
"2","21","-0.152"
"32","22","-0.172"
"10","23","-0.173"
"16","24","-0.177"
"24","25","-0.177"
"28","26","-0.177"
"11","27","-0.198"
"15","28","-0.221"
"5","29","-0.229"
"25","30","-0.345"
"29","31","-0.345"
"7","32","-0.400"
"6","33","-0.447"
"4","34","-0.561"
