"Atom number","Rang","Delta P"
"20","1","0.563"
"21","2","0.395"
"2","3","0.180"
"10","4","0.076"
"24","5","-0.070"
"25","6","-0.070"
"4","7","-0.109"
"7","8","-0.109"
"30","9","-0.109"
"33","10","-0.109"
"36","11","-0.109"
"9","12","-0.165"
"32","13","-0.231"
"23","14","-0.237"
"17","15","-0.274"
"26","16","-0.274"
"28","17","-0.285"
"35","18","-0.311"
"29","19","-0.314"
"14","20","-0.320"
"16","21","-0.322"
"27","22","-0.322"
"3","23","-0.325"
"6","24","-0.331"
"18","25","-0.468"
"15","26","-0.479"
"13","27","-0.491"
"5","28","-0.544"
"8","29","-0.604"
"1","30","-0.635"
"37","31","-0.640"
"12","32","-0.658"
"31","33","-0.683"
"34","34","-0.683"
"11","35","-0.727"
"22","36","-0.889"
"19","37","-0.895"
