"Atom number","Rang","Delta P"
"16","1","0.195"
"14","2","-0.035"
"4","3","-0.063"
"21","4","-0.066"
"24","5","-0.087"
"29","6","-0.094"
"1","7","-0.102"
"6","8","-0.114"
"2","9","-0.148"
"20","10","-0.196"
"23","11","-0.222"
"25","12","-0.222"
"3","13","-0.226"
"17","14","-0.233"
"22","15","-0.237"
"26","16","-0.237"
"7","17","-0.264"
"5","18","-0.269"
"13","19","-0.275"
"10","20","-0.277"
"15","21","-0.286"
"18","22","-0.324"
"28","23","-0.324"
"8","24","-0.336"
"31","25","-0.336"
"9","26","-0.337"
"30","27","-0.337"
"11","28","-0.347"
"19","29","-0.347"
"27","30","-0.347"
"12","31","-0.374"
