"Atom number","Rang","Delta P"
"1","1","0.401"
"26","2","0.292"
"24","3","0.273"
"5","4","0.075"
"29","5","-0.033"
"28","6","-0.066"
"4","7","-0.106"
"6","8","-0.252"
"21","9","-0.262"
"15","10","-0.362"
"11","11","-0.453"
"18","12","-0.466"
"14","13","-0.506"
"10","14","-0.602"
"16","15","-0.608"
"9","16","-0.616"
"12","17","-0.637"
"22","18","-0.650"
"27","19","-0.694"
"23","20","-0.700"
"25","21","-0.700"
"20","22","-0.714"
"3","23","-0.716"
"19","24","-0.724"
"13","25","-0.761"
"17","26","-0.761"
"7","27","-0.846"
"8","28","-0.859"
"2","29","-0.921"
