"Atom number","Rang","Delta P"
"29","1","0.531"
"22","2","0.424"
"9","3","0.373"
"12","4","0.340"
"4","5","0.322"
"3","6","0.309"
"27","7","0.230"
"10","8","0.214"
"16","9","0.200"
"23","10","0.192"
"17","11","0.184"
"6","12","0.099"
"8","13","0.099"
"14","14","0.099"
"21","15","0.099"
"26","16","0.075"
"1","17","0.032"
"13","18","-0.038"
"19","19","-0.057"
"28","20","-0.227"
"25","21","-0.278"
"30","22","-0.288"
"7","23","-0.319"
"24","24","-0.355"
"20","25","-0.470"
"11","26","-0.473"
"5","27","-0.474"
"2","28","-0.499"
"18","29","-0.675"
"15","30","-0.837"
