"Atom number","Rang","Delta P"
"24","1","0.747"
"2","2","0.619"
"13","3","0.237"
"15","4","0.218"
"6","5","0.132"
"12","6","0.114"
"16","7","0.083"
"1","8","0.017"
"9","9","0.017"
"21","10","-0.089"
"5","11","-0.136"
"7","12","-0.249"
"20","13","-0.284"
"4","14","-0.358"
"28","15","-0.415"
"29","16","-0.415"
"10","17","-0.416"
"17","18","-0.426"
"22","19","-0.430"
"18","20","-0.452"
"8","21","-0.480"
"30","22","-0.495"
"26","23","-0.504"
"23","24","-0.510"
"27","25","-0.549"
"3","26","-0.555"
"11","27","-0.610"
"19","28","-0.616"
"25","29","-0.624"
"14","30","-0.652"
