"Atom number","Rang","Delta P"
"31","1","0.335"
"3","2","0.217"
"23","3","0.123"
"1","4","-0.001"
"7","5","-0.020"
"2","6","-0.202"
"32","7","-0.307"
"28","8","-0.326"
"16","9","-0.364"
"24","10","-0.395"
"8","11","-0.423"
"14","12","-0.482"
"27","13","-0.482"
"20","14","-0.483"
"26","15","-0.483"
"5","16","-0.492"
"21","17","-0.497"
"25","18","-0.497"
"22","19","-0.509"
"4","20","-0.511"
"6","21","-0.533"
"13","22","-0.601"
"10","23","-0.604"
"11","24","-0.604"
"17","25","-0.609"
"18","26","-0.609"
"9","27","-0.631"
"33","28","-0.642"
"19","29","-0.664"
"34","30","-0.704"
"29","31","-0.705"
"12","32","-0.711"
"15","33","-0.754"
"30","34","-0.842"
