"Atom number","Rang","Delta P"
"40","1","0.065"
"37","2","0.020"
"34","3","0.017"
"31","4","0.009"
"43","5","-0.002"
"12","6","-0.046"
"23","7","-0.052"
"4","8","-0.082"
"18","9","-0.095"
"25","10","-0.100"
"28","11","-0.100"
"33","12","-0.100"
"36","13","-0.100"
"39","14","-0.100"
"30","15","-0.103"
"15","16","-0.112"
"16","17","-0.122"
"7","18","-0.139"
"8","19","-0.139"
"9","20","-0.139"
"26","21","-0.175"
"14","22","-0.189"
"1","23","-0.204"
"6","24","-0.207"
"17","25","-0.218"
"5","26","-0.271"
"3","27","-0.301"
"11","28","-0.303"
"19","29","-0.319"
"13","30","-0.322"
"2","31","-0.339"
"22","32","-0.347"
"29","33","-0.348"
"41","34","-0.355"
"10","35","-0.363"
"20","36","-0.380"
"42","37","-0.385"
"21","38","-0.397"
"35","39","-0.409"
"24","40","-0.427"
"32","41","-0.500"
"27","42","-0.512"
"38","43","-0.542"
